card_id,player_class,type,name,set,text,cost,attack,health,rarity,collectible,flavor,race,how_to_earn,how_to_earn_golden,targeting_arrow_text,faction,durability
KARA_00_07,MAGE,SPELL,Astral Portal,KARA,Summon a random <b>Legendary</b> minion.,1.0,,,,,,,,,,,
NEW1_008a,DRUID,SPELL,Ancient Teachings,EXPERT1,Draw a card.,0.0,,,,,,,,,,,
BRM_010t2,DRUID,MINION,Druid of the Flame,BRM,,3.0,2.0,5.0,COMMON,,,BEAST,,,,,
AT_132,NEUTRAL,MINION,Justicar Trueheart,TGT,<b>Battlecry:</b> Replace your starting Hero Power with a better one.,6.0,6.0,3.0,LEGENDARY,1.0,It's like putting racing stripes and a giant spoiler on your hero power.,,,,,,
OG_141,NEUTRAL,MINION,Faceless Behemoth,OG,,10.0,10.0,10.0,COMMON,1.0,"Rejected names: Forty-Foot Faceless, Big ol' No-face, Huge Creature Sans Face, Teddy.",,,,,,
CRED_17,NEUTRAL,MINION,Rob Pardo,CREDITS,You can't start a game without this minion in your deck.,9.0,9.0,9.0,LEGENDARY,,,,,,,,
OG_337e,NEUTRAL,ENCHANTMENT,Eve of Destruction,OG,Stats increased.,,,,,,,,,,,,
BRMA08_1H,NEUTRAL,HERO,General Drakkisath,BRM,,,,50.0,,,,,,,,,
GVG_011a,NEUTRAL,ENCHANTMENT,Shrink Ray,GVG,-2 Attack this turn.,,,,,,,,,,,,
NAX8_02H_TB,NEUTRAL,HERO_POWER,Harvest,TB,"<b>Hero Power</b>
Draw a card. Gain a Mana Crystal.",2.0,,,,,,,,,,,
AT_131,NEUTRAL,MINION,Eydis Darkbane,TGT,"Whenever <b>you</b> target this minion with a spell, deal 3 damage to a random enemy.",3.0,3.0,4.0,LEGENDARY,1.0,"HATES being called ""the wonder twins"".",,,,,,
CS2_122e,NEUTRAL,ENCHANTMENT,Enhanced,CORE,Raid Leader is granting this minion +1 Attack.,,,,,,,,,,,,
LOEA05_02ha,NEUTRAL,HERO_POWER,Trogg Hate Minions!,LOE,"<b>Passive Hero Power</b>
 Enemy minions cost (11). Swap at the start of your turn.",0.0,,,,,,,,,,,
CS2_102_H1_AT_132,WARRIOR,HERO_POWER,Tank Up!,HERO_SKINS,"<b>Hero Power</b>
Gain 4 Armor.",2.0,,,,,,,,,,,
CFM_334e,NEUTRAL,ENCHANTMENT,Smuggling,GANGS,+2/+2 from Smuggler's Crate.,,,,,,,,,,,,
EX1_583,NEUTRAL,MINION,Priestess of Elune,EXPERT1,<b>Battlecry:</b> Restore 4 Health to your hero.,6.0,5.0,4.0,COMMON,1.0,"If she threatens to ""moon"" you, it's not what you think.",,,,,,
TB_PickYourFate_11rand,NEUTRAL,SPELL,Dire Fate: Murlocs,TB,Turn each minion in play into a 1/1 Murloc.,0.0,,,,,,,,,,,
LOE_007t,WARLOCK,SPELL,Cursed!,LOE,"While this is in your hand, take 2 damage at the start of your turn.",2.0,,,,,,,,,,,
CFM_095,NEUTRAL,MINION,Weasel Tunneler,GANGS,<b>Deathrattle:</b> Shuffle this minion into your opponent's deck.,1.0,1.0,1.0,EPIC,1.0,He's the reason the First Bank of Gadgetzan has steel floors.,BEAST,,,,,
BRM_018,PALADIN,MINION,Dragon Consort,BRM,<b>Battlecry:</b> The next Dragon you play costs (2) less.,5.0,5.0,5.0,RARE,1.0,Everybody wants someone to snuggle with. Even giant armored scaly draconic beasts of destruction.,DRAGON,"Unlocked in Blackrock Spire, in the Blackrock Mountain adventure.","Crafting unlocked in Blackrock Spire, in the Blackrock Mountain adventure.",,,
PRO_001a,NEUTRAL,SPELL,I Am Murloc,PROMO,"Summon three, four, or five 1/1 Murlocs.",4.0,,,,,,,,,,,
BRMA10_5H,NEUTRAL,MINION,Chromatic Drake,BRM,,4.0,7.0,7.0,,,,DRAGON,,,,,
BRMA11_1,NEUTRAL,HERO,Vaelastrasz the Corrupt,BRM,,,,30.0,,,,,,,,,
OG_027,SHAMAN,SPELL,Evolve,OG,Transform your minions into random minions that cost (1) more.,1.0,,,RARE,1.0,"So you say you want an evolution. Well, you know. We all want to change the board.",,,,,,
NAX1_01,NEUTRAL,HERO,Anub'Rekhan,NAXX,,,,30.0,,,,,,,,,
GVG_030,DRUID,MINION,Anodized Robo Cub,GVG,"<b>Taunt</b>. <b>Choose One -</b>
+1 Attack; or +1 Health.",2.0,2.0,2.0,COMMON,1.0,It's adorable! AND OH MY GOODNESS WHY IS IT EATING MY FACE,MECHANICAL,,,,,
CFM_094,WARLOCK,SPELL,Felfire Potion,GANGS,Deal $5 damage to all characters.,6.0,,,RARE,1.0,Kazakus has a squad of imps bottling Felfire round-the-clock and he *still* can't keep up with demand.,,,,,,
DS1h_292_H1,HUNTER,HERO_POWER,Steady Shot,HERO_SKINS,"<b>Hero Power</b>
Deal $2 damage to the enemy hero.",2.0,,,FREE,,,,,,,,
CS2_227,NEUTRAL,MINION,Venture Co. Mercenary,EXPERT1,Your minions cost (3) more.,5.0,7.0,6.0,COMMON,1.0,No Job is too big.  No fee is too big.,,,,,HORDE,
KAR_062,NEUTRAL,MINION,Netherspite Historian,KARA,"<b>Battlecry:</b> If you're holding a Dragon, <b>Discover</b>
a Dragon.",2.0,1.0,3.0,COMMON,1.0,She can tell you all about the history of people not STANDING IN THE GREEN BEAM!,,"Unlocked in the Spire, in One Night in Karazhan.","Crafting unlocked in the Spire, in One Night in Karazhan.",,,
CFM_712_t17,NEUTRAL,MINION,Jade Golem,GANGS,,10.0,17.0,17.0,,,,,,,,,
KAR_076,MAGE,SPELL,Firelands Portal,KARA,"Deal $5 damage. Summon a random
5-Cost minion.",7.0,,,COMMON,1.0,"Come to beautiful Firelands! Where it's <i>""Way nicer than the Abyssal Maw!""</i>",,"Unlocked in the Prologue, in One Night in Karazhan.","Crafting unlocked in the Prologue, in One Night in Karazhan.",,,
BRM_011t,SHAMAN,ENCHANTMENT,Lava Shock,BRM,Cards you play this turn don't cause <b>Overload</b>.,,,,,,,,,,,,
AT_024,WARLOCK,SPELL,Demonfuse,TGT,Give a Demon +3/+3. Give your opponent a Mana Crystal.,2.0,,,COMMON,1.0,Very dangerous when attached to a demonbomb.,,,,,,
BRMA06_2,NEUTRAL,HERO_POWER,The Majordomo,BRM,"<b>Hero Power</b>
Summon a 1/3 Flamewaker Acolyte.",2.0,,,,,,,,,,,
OG_024,SHAMAN,MINION,Flamewreathed Faceless,OG,<b>Overload:</b> (2),4.0,7.0,7.0,COMMON,1.0,He's on fire! Boomshakalaka!,,,,,,
NAX5_02,NEUTRAL,HERO_POWER,Eruption,NAXX,"<b>Hero Power</b>
Deal 2 damage to the left-most enemy minion.",1.0,,,,,,,,,,,
BRMA05_2,NEUTRAL,HERO_POWER,Ignite Mana,BRM,"<b>Hero Power</b>
Deal 5 damage to the enemy hero if they have any unspent Mana.",0.0,,,,,,,,,,,
BRMA10_3H,NEUTRAL,HERO_POWER,The Rookery,BRM,"<b>Hero Power</b>
Give all Corrupted Eggs +1 Health, then summon one.",0.0,,,,,,,,,,,
KAR_710m,NEUTRAL,MINION,Animated Shield,KARA,<b>Taunt</b>,2.0,0.0,5.0,,,,,,,,,
BRM_004e,NEUTRAL,ENCHANTMENT,Twilight Endurance,BRM,Increased Health.,,,,,,,,,,,,
OG_080c,ROGUE,SPELL,Bloodthistle Toxin,OG,"Return a friendly minion to your hand.
It costs (2) less.",1.0,,,,,,,,,,,
CS2_039,SHAMAN,SPELL,Windfury,CORE,Give a minion <b>Windfury</b>.,2.0,,,FREE,1.0,"Windfury is like Earthfury and Firefury, but more light and airy.",,Unlocked at Level 1.,Unlocked at Level 23.,,,
EX1_295o,MAGE,ENCHANTMENT,Ice Block,EXPERT1,Your hero is <b>Immune</b> this turn.,,,,,,,,,,,,
OG_158,NEUTRAL,MINION,Zealous Initiate,OG,<b>Deathrattle:</b> Give a random friendly minion +1/+1.,1.0,1.0,1.0,COMMON,1.0,"Ok, Initiate. You need to settle down and do your job. In this case, that means die so someone else can get a minor buff.",,,,,,
LOE_110t,NEUTRAL,SPELL,Ancient Curse,LOE,"When you draw this, take 7 damage and draw a card.",0.0,,,,,,,,,,,
BRMA13_4H,NEUTRAL,HERO_POWER,Wild Magic,BRM,"<b>Hero Power</b>
Put a random spell from your opponent's class into your hand.",1.0,,,,,,,,,,,
LOEA08_01,NEUTRAL,HERO,Archaedas,LOE,,,,30.0,,,,,,,,,
KAR_A10_22,NEUTRAL,HERO_POWER,Castle,KARA,"<b>Hero Power</b>
<b>Discover</b> a chess piece.",2.0,,,,,,,,,,,
OG_211,HUNTER,SPELL,Call of the Wild,OG,Summon all three Animal Companions.,9.0,,,EPIC,1.0,"""Hello. Misha, Leokk and Huffer aren't here right now, but if you leave a message we'll get back to you right away."" BEEP.",,,,,,
EX1_382e,PALADIN,ENCHANTMENT,Stand Down!,EXPERT1,Attack changed to 1.,,,,,,,,,,,,
EX1_145o,ROGUE,ENCHANTMENT,Preparation,EXPERT1,The next spell you cast this turn costs (3) less.,,,,,,,,,,,,
NAX15_01H,NEUTRAL,HERO,Kel'Thuzad,NAXX,,,,45.0,,,,,,,,,
TU4a_006,MAGE,HERO,Jaina Proudmoore,MISSIONS,,,,30.0,COMMON,,,,,,,,
TB_KaraPortal_002,NEUTRAL,SPELL,Call Mediva,TB,Summon a random Mediva,2.0,,,FREE,,,,,,,,
LOEA05_01h,NEUTRAL,HERO,Chieftain Scarvash,LOE,,,,30.0,,,,,,,,,
LOEA09_2e,NEUTRAL,ENCHANTMENT,Enraged,LOE,+2 Attack,,,,,,,,,,,,
CRED_15,NEUTRAL,MINION,Andy Brock,CREDITS,"Can't be <b>Silenced. Divine Shield, Stealth.</b>",1.0,1.0,3.0,LEGENDARY,,,,,,,,
CFM_621_m2,NEUTRAL,MINION,Kabal Demon,GANGS,,5.0,5.0,5.0,,,,DEMON,,,,,
EX1_570e,NEUTRAL,ENCHANTMENT,Bite,EXPERT1,+4 Attack this turn.,,,,,,,,,,,,
TB_Coopv3_100,NEUTRAL,MINION,Dragonscale Warrior,TB,"Whenever any player targets this minion with a spell, that player draws a card.",3.0,3.0,4.0,,,,,,,,,
GVG_069,NEUTRAL,MINION,Antique Healbot,GVG,<b>Battlecry:</b> Restore 8 Health to your hero.,5.0,3.0,3.0,COMMON,1.0,"They don't make 'em like they used to! (Because of explosions, mostly.)",MECHANICAL,,,,,
NEW1_018e,NEUTRAL,ENCHANTMENT,Treasure Crazed,EXPERT1,Increased Attack.,,,,,,,,,,,,
CRED_27,NEUTRAL,MINION,Henry Ho,CREDITS,<b>Battlecry:</b> Spectate your opponent's hand.,3.0,3.0,4.0,LEGENDARY,,,,,,,,
hexfrog,NEUTRAL,MINION,Frog,CORE,<b>Taunt</b>,0.0,0.0,1.0,COMMON,,,BEAST,,,,,
OG_101,PRIEST,SPELL,Forbidden Shaping,OG,Spend all your Mana. Summon a random minion that costs that much.,0.0,,,EPIC,1.0,But the minion arrives covered in goo.,,,,,,
CS2_094,PALADIN,SPELL,Hammer of Wrath,CORE,"Deal $3 damage.
Draw a card.",4.0,,,FREE,1.0,"A good paladin has many tools.  Hammer of Wrath, Pliers of Vengeance, Hacksaw of Justice, etc.",,Unlocked at Level 1.,Unlocked at Level 32.,,,
TB_SPT_DPromoHP,,HERO_POWER,Diabolical Powers,TB,Summon a random Imp.,2.0,,,,,,,,,,,
GVG_072,PRIEST,MINION,Shadowboxer,GVG,"Whenever a character is healed, deal 1 damage to a random enemy.",2.0,2.0,3.0,RARE,1.0,"Punching is its primary function. Also, its secondary function.",MECHANICAL,,,,,
CFM_621t15,NEUTRAL,SPELL,Kazakus Potion,GANGS,"{0}
{1}",10.0,,,,,,,,,,,
EX1_093e,NEUTRAL,ENCHANTMENT,Hand of Argus,EXPERT1,+1/+1 and <b>Taunt</b>.,,,,,,,,,,,,
EX1_531e,HUNTER,ENCHANTMENT,Well Fed,EXPERT1,Increased Attack and Health.,,,,,,,,,,,,
OG_145,NEUTRAL,MINION,Psych-o-Tron,OG,"<b>Taunt</b>
<b>Divine Shield</b>",5.0,3.0,4.0,COMMON,1.0,"""Annoyinger-o-Tron"" was just too unwieldy. And accurate.",MECHANICAL,,,,,
AT_069e,WARRIOR,ENCHANTMENT,Training Complete,TGT,<b>Taunt</b>,,,,,,,,,,,,
OG_313,DRUID,MINION,Addled Grizzly,OG,"After you summon a minion, give it +1/+1.",3.0,2.0,2.0,RARE,1.0,"Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods.  Right now they are whispering the lyrics to ""La Bamba"".",BEAST,,,,,
TB_KTRAF_2s,NEUTRAL,MINION,Sir Zeliek,TB,Lady Blaumeux is <b>Immune</b>.,4.0,1.0,5.0,LEGENDARY,,,,,,,,
AT_090,NEUTRAL,MINION,Mukla's Champion,TGT,<b>Inspire:</b> Give your other minions +1/+1.,5.0,4.0,3.0,COMMON,1.0,"An elegant gorilla, for a more civilized age.",BEAST,,,,,
NAX9_07,NEUTRAL,SPELL,Mark of the Horsemen,NAXX,Give your minions and your weapon +1/+1.,5.0,,,,,,,,,,,
KARA_00_01H,NEUTRAL,HERO,Prince Malchezaar,KARA,,,,60.0,,,,,,,,,
BRMA15_3,NEUTRAL,SPELL,Release the Aberrations!,BRM,Summon 3 Aberrations.,2.0,,,,,,,,,,,
KAR_035,PRIEST,MINION,Priest of the Feast,KARA,"Whenever you cast a spell, restore 3 Health to
your hero.",4.0,3.0,6.0,COMMON,1.0,Now that's a world champion cheesecake!,,"Unlocked in the Parlor, in One Night in Karazhan.","Crafting unlocked in the Parlor, in One Night in Karazhan.",,,
BRM_027pH,NEUTRAL,HERO_POWER,"DIE, INSECTS!",BRM,"<b>Hero Power</b>
Deal $8 damage to a random enemy. TWICE.",2.0,,,,,,,,,,,
AT_060,HUNTER,SPELL,Bear Trap,TGT,"<b>Secret:</b> After your hero is attacked, summon a 3/3 Bear with <b>Taunt</b>.",2.0,,,COMMON,1.0,"You'll never guess what's in that conveniently bear-sized, bear-smelling box.",,,,,,
EX1_584e,NEUTRAL,ENCHANTMENT,Teachings of the Kirin Tor,EXPERT1,<b>Spell Damage +1</b>.,,,,,,,,,,,,
BRMA12_10,NEUTRAL,HERO_POWER,Mutation,BRM,"<b>Hero Power</b>
Discard a random card.",1.0,,,,,,,,,,,
CS2_087e,PALADIN,ENCHANTMENT,Blessing of Might,CORE,+3 Attack.,,,,,,,,,,,,
