card_id,action,cost
BRM_010t2,CRAFTING_NORMAL,40
BRM_010t2,CRAFTING_GOLDEN,400
BRM_010t2,DISENCHANT_NORMAL,5
BRM_010t2,DISENCHANT_GOLDEN,50
AT_132,CRAFTING_NORMAL,1600
AT_132,CRAFTING_GOLDEN,3200
AT_132,DISENCHANT_NORMAL,400
AT_132,DISENCHANT_GOLDEN,1600
OG_141,CRAFTING_NORMAL,40
OG_141,CRAFTING_GOLDEN,400
OG_141,DISENCHANT_NORMAL,5
OG_141,DISENCHANT_GOLDEN,50
AT_131,CRAFTING_NORMAL,1600
AT_131,CRAFTING_GOLDEN,3200
AT_131,DISENCHANT_NORMAL,400
AT_131,DISENCHANT_GOLDEN,1600
EX1_583,CRAFTING_NORMAL,40
EX1_583,CRAFTING_GOLDEN,400
EX1_583,DISENCHANT_NORMAL,5
EX1_583,DISENCHANT_GOLDEN,50
CFM_095,CRAFTING_NORMAL,400
CFM_095,CRAFTING_GOLDEN,1600
CFM_095,DISENCHANT_NORMAL,100
CFM_095,DISENCHANT_GOLDEN,400
BRM_018,CRAFTING_NORMAL,100
BRM_018,CRAFTING_GOLDEN,800
BRM_018,DISENCHANT_NORMAL,20
BRM_018,DISENCHANT_GOLDEN,100
OG_027,CRAFTING_NORMAL,100
OG_027,CRAFTING_GOLDEN,800
OG_027,DISENCHANT_NORMAL,20
OG_027,DISENCHANT_GOLDEN,100
GVG_030,CRAFTING_NORMAL,40
GVG_030,CRAFTING_GOLDEN,400
GVG_030,DISENCHANT_NORMAL,5
GVG_030,DISENCHANT_GOLDEN,50
CFM_094,CRAFTING_NORMAL,100
CFM_094,CRAFTING_GOLDEN,800
CFM_094,DISENCHANT_NORMAL,20
CFM_094,DISENCHANT_GOLDEN,100
CS2_227,CRAFTING_NORMAL,40
CS2_227,CRAFTING_GOLDEN,400
CS2_227,DISENCHANT_NORMAL,5
CS2_227,DISENCHANT_GOLDEN,50
KAR_062,CRAFTING_NORMAL,40
KAR_062,CRAFTING_GOLDEN,400
KAR_062,DISENCHANT_NORMAL,5
KAR_062,DISENCHANT_GOLDEN,50
KAR_076,CRAFTING_NORMAL,40
KAR_076,CRAFTING_GOLDEN,400
KAR_076,DISENCHANT_NORMAL,5
KAR_076,DISENCHANT_GOLDEN,50
AT_024,CRAFTING_NORMAL,40
AT_024,CRAFTING_GOLDEN,400
AT_024,DISENCHANT_NORMAL,5
AT_024,DISENCHANT_GOLDEN,50
OG_024,CRAFTING_NORMAL,40
OG_024,CRAFTING_GOLDEN,400
OG_024,DISENCHANT_NORMAL,5
OG_024,DISENCHANT_GOLDEN,50
OG_158,CRAFTING_NORMAL,40
OG_158,CRAFTING_GOLDEN,400
OG_158,DISENCHANT_NORMAL,5
OG_158,DISENCHANT_GOLDEN,50
OG_211,CRAFTING_NORMAL,400
OG_211,CRAFTING_GOLDEN,1600
OG_211,DISENCHANT_NORMAL,100
OG_211,DISENCHANT_GOLDEN,400
GVG_069,CRAFTING_NORMAL,40
GVG_069,CRAFTING_GOLDEN,400
GVG_069,DISENCHANT_NORMAL,5
GVG_069,DISENCHANT_GOLDEN,50
OG_101,CRAFTING_NORMAL,400
OG_101,CRAFTING_GOLDEN,1600
OG_101,DISENCHANT_NORMAL,100
OG_101,DISENCHANT_GOLDEN,400
GVG_072,CRAFTING_NORMAL,100
GVG_072,CRAFTING_GOLDEN,800
