card_id,entourage_card_id
KAR_A10_22,KAR_A10_09
KAR_A10_22,KAR_A10_02
KAR_A10_22,KAR_A10_08
KAR_A10_22,KAR_A10_04
KAR_A10_22,KAR_A10_05
TBST_006,TBST_003
TBST_006,TBST_002
TBST_006,TBST_001
BRMA14_10H,BRMA14_3
BRMA14_10H,BRMA14_5H
BRMA14_10H,BRMA14_7H
BRMA14_10H,BRMA14_9H
BRMA09_3,BRMA09_2
BRMA09_3,BRMA09_4
BRMA09_3,BRMA09_5
KARA_06_03hp,KARA_06_01
BRMA12_2,BRMA12_6
BRMA12_2,BRMA12_5
BRMA12_2,BRMA12_7
BRMA12_2,BRMA12_4
BRMA12_2,BRMA12_3
TB_PickYourFate_2nd,TB_PickYourFate_1
TB_PickYourFate_2nd,TB_PickYourFate_4
TB_PickYourFate_2nd,TB_PickYourFate_7_2nd
TB_PickYourFate_2nd,TB_PickYourFate_3
TB_PickYourFate_2nd,TB_PickYourFate_6_2nd
TB_PickYourFate_2nd,TB_PickYourFate_11rand
TB_001,BRMA14_10
TB_001,BRMA14_10H
TB_001,BRMA09_4
TB_001,BRMA09_4H
TB_001,BRMA17_5
TB_001,BRMA17_5H
TB_001,NAX15_04
TB_001,NAX15_04H
TB_001,NAX12_02
TB_001,NAX12_02H
TB_001,BRM_027p
TB_001,BRM_027pH
TB_001,BRMA09_5
TB_001,BRMA09_5H
TB_001,BRMA16_2
TB_001,BRMA16_2H
TB_001,NAX5_02
TB_001,NAX5_02H
TB_001,BRMA11_2
TB_001,BRMA11_2H
TB_001,BRMA17_8
TB_001,BRMA17_8H
TB_001,NAX15_02
TB_001,NAX15_02H
TB_001,NAX14_02
TB_001,NAX8_02
TB_001,NAX8_02H
TB_001,NAX10_03
TB_001,NAX10_03H
TB_001,BRMA05_2
TB_001,BRMA05_2H
TB_001,BRMA02_2
TB_001,BRMA02_2H
TB_001,BRMA04_2
TB_001,BRMA07_2
TB_001,BRMA07_2H
TB_001,NAX6_02
TB_001,NAX6_02H
TB_001,BRMA09_2
TB_001,BRMA09_2H
TB_001,BRMA01_2
TB_001,BRMA01_2H
TB_001,NAX11_02
TB_001,NAX11_02H
TB_001,NAX13_02
TB_001,NAX2_03
TB_001,NAX2_03H
TB_001,NAX1_04
TB_001,NAX1h_04
TB_001,BRMA06_2
TB_001,BRMA06_2H
TB_001,BRMA10_3
TB_001,BRMA10_3H
TB_001,NAX7_03
TB_001,NAX7_03H
TB_001,NAX9_06
TB_001,NAX3_02
TB_001,NAX3_02H
TB_001,BRMA13_4
TB_001,BRMA13_4H
EX1_112,Mekka1
EX1_112,Mekka2
EX1_112,Mekka3
EX1_112,Mekka4
TB_KTRAF_101,TB_KTRAF_1
TB_KTRAF_101,TB_KTRAF_3
TB_KTRAF_101,TB_KTRAF_4
TB_KTRAF_101,TB_KTRAF_5
TB_KTRAF_101,TB_KTRAF_6
TB_KTRAF_101,TB_KTRAF_7
TB_KTRAF_101,TB_KTRAF_8
TB_KTRAF_101,TB_KTRAF_2
TB_KTRAF_101,TB_KTRAF_10
TB_KTRAF_101,TB_KTRAF_12
TB_KTRAF_101,TB_KTRAF_11
LOEA16_1H,LOEA16_18H
LOEA16_1H,LOEA16_19H
LOEA16_1H,LOEA16_21H
LOEA16_1H,LOEA16_22H
LOEA16_1H,LOEA16_23H
LOEA16_1H,LOEA16_24H
LOEA16_1H,LOEA16_25H
LOEA16_1H,LOEA16_26H
LOEA16_1H,LOEA16_27H
BRMA13_3,BRMA13_8
BRMA13_3,BRMA13_7
BRMA13_3,BRMA13_5
BRMA13_3,BRMA13_6
TB_SPT_DPromoMinionChamp,AT_050
TB_SPT_DPromoMinionChamp,CS2_112
TB_SPT_DPromoMinionChamp,LOE_118
TB_SPT_DPromoMinionChamp,EX1_567
TB_SPT_DPromoMinionChamp,TB_BlingBrawl_Weapon
TB_SPT_DPromoMinionChamp,CS2_106
TB_SPT_DPromoMinionChamp,CFM_631
TB_SPT_DPromoMinionChamp,CS2_080
KARA_13_06H,KAR_073
KARA_13_06H,KAR_075
KARA_13_06H,KAR_076
KARA_13_06H,KAR_077
KARA_13_06H,KAR_091
BRMA09_4H,BRMA09_2H
BRMA09_4H,BRMA09_3H
BRMA09_4H,BRMA09_5H
BRMA09_2H,BRMA09_3H
BRMA09_2H,BRMA09_4H
BRMA13_2,BRMA13_6
BRMA13_2,BRMA13_8
BRMA13_2,BRMA13_7
BRMA13_2,BRMA13_5
TB_PickYourFateRandom,TB_PickYourFate_12
TB_PickYourFateRandom,TB_PickYourFate_2
TB_PickYourFateRandom,TB_PickYourFate_8rand
TB_PickYourFateRandom,TB_PickYourFate_6
TB_PickYourFateRandom,TB_PickYourFate_5
TB_PickYourFateRandom,TB_PickYourFate_7
KARA_06_03hpheroic,KARA_06_01
CS2_049,CS2_050
CS2_049,CS2_051
CS2_049,CS2_052
CS2_049,NEW1_009
TB_009,FP1_020
TB_009,EX1_287
TB_009,FP1_018
TB_009,EX1_610
TB_009,EX1_132
TB_009,EX1_611
TB_009,EX1_289
TB_009,EX1_295
TB_009,EX1_294
TB_009,EX1_533
TB_009,EX1_130
TB_009,EX1_136
TB_009,EX1_379
TB_009,EX1_554
TB_009,EX1_609
TB_009,tt_010
TB_009,EX1_594
OG_080,OG_080d
OG_080,OG_080e
OG_080,OG_080f
OG_080,OG_080c
OG_080,OG_080b
TB_RandHero2_001,BRMA07_2_2_TB
TB_RandHero2_001,BRMA01_2H_2_TB
TB_RandHero2_001,BRMA17_5_TB
TB_RandHero2_001,NAX12_02H_2_TB
TB_RandHero2_001,BRMA02_2_2_TB
TB_RandHero2_001,NAX11_02H_2_TB
TB_RandHero2_001,BRMA13_4_2_TB
TB_RandHero2_001,BRMA09_2_TB
TB_RandHero2_001,BRMA14_10H_TB
TB_RandHero2_001,BRMA06_2H_TB
TB_RandHero2_001,NAX3_02_TB
TB_RandHero2_001,NAX8_02H_TB
PRO_001,PRO_001a
PRO_001,PRO_001b
PRO_001,PRO_001c
BRMA14_10H_TB,BRMA14_3
BRMA14_10H_TB,BRMA14_5
BRMA14_10H_TB,BRMA14_7
BRMA14_10H_TB,BRMA14_9
TB_PickYourFate,TB_PickYourFate_9
TB_PickYourFate,TB_PickYourFate_10
TB_PickYourFate,TB_PickYourFate_11b
TB_PickYourFate,TB_PickYourFate_8
GVG_034,PART_007
GVG_034,PART_006
GVG_034,PART_005
GVG_034,PART_001
GVG_034,PART_003
GVG_034,PART_002
GVG_034,PART_004
BRMA09_5,BRMA09_2
BRMA09_5,BRMA09_3
BRMA09_5,BRMA09_4
BRMA14_10,BRMA14_3
BRMA14_10,BRMA14_5
BRMA14_10,BRMA14_7
BRMA14_10,BRMA14_9
TB_KTRAF_3,FP1_001
TB_KTRAF_3,AT_030
TB_KTRAF_3,LOE_019
TB_KTRAF_3,EX1_012
TB_KTRAF_3,EX1_059
TB_KTRAF_3,FP1_004
TB_KTRAF_3,EX1_616
TB_KTRAF_3,FP1_024
TB_KTRAF_3,tt_004
BRMA12_2H,BRMA12_3H
BRMA12_2H,BRMA12_4H
BRMA12_2H,BRMA12_5H
BRMA12_2H,BRMA12_6H
BRMA12_2H,BRMA12_7H
KARA_08_02H,KARA_08_06
KARA_08_02H,KARA_08_08
CS2_049_H1,CS2_050
CS2_049_H1,CS2_051
CS2_049_H1,CS2_052
CS2_049_H1,NEW1_009
BRMA09_2,BRMA09_3
BRMA09_2,BRMA09_4
TB_ClassRandom_PickSecondClass,TB_ClassRandom_Warrior
TB_ClassRandom_PickSecondClass,TB_ClassRandom_Warlock
TB_ClassRandom_PickSecondClass,TB_ClassRandom_Shaman
TB_ClassRandom_PickSecondClass,TB_ClassRandom_Rogue
TB_ClassRandom_PickSecondClass,TB_ClassRandom_Priest
TB_ClassRandom_PickSecondClass,TB_ClassRandom_Paladin
TB_ClassRandom_PickSecondClass,TB_ClassRandom_Mage
TB_ClassRandom_PickSecondClass,TB_ClassRandom_Hunter
TB_ClassRandom_PickSecondClass,TB_ClassRandom_Druid
EX1_572,DREAM_01
EX1_572,DREAM_02
EX1_572,DREAM_03
EX1_572,DREAM_04
EX1_572,DREAM_05
NEW1_031,NEW1_032
NEW1_031,NEW1_033
NEW1_031,NEW1_034
BRMA09_4,BRMA09_2
BRMA09_4,BRMA09_3
BRMA09_4,BRMA09_5
CFM_621,CFM_621t11
CFM_621,CFM_621t12
CFM_621,CFM_621t13
LOEA16_1,LOEA16_18
LOEA16_1,LOEA16_23
LOEA16_1,LOEA16_19
LOEA16_1,LOEA16_22
LOEA16_1,LOEA16_21
LOEA16_1,LOEA16_24
LOEA16_1,LOEA16_25
LOEA16_1,LOEA16_26
LOEA16_1,LOEA16_27
BRMC_93,BRMA14_3
BRMC_93,BRMA14_5
BRMC_93,BRMA14_7
BRMC_93,BRMA14_9
KARA_08_02,KARA_08_06
KARA_08_02,KARA_08_08
KARA_13_06,KAR_073
KARA_13_06,KAR_075
KARA_13_06,KAR_076
KARA_13_06,KAR_077
KARA_13_06,KAR_091
BRMA13_2H,BRMA13_6
BRMA13_2H,BRMA13_8
BRMA13_2H,BRMA13_7
BRMA13_2H,BRMA13_5
BRMA09_5H,BRMA09_2H
BRMA09_5H,BRMA09_3H
BRMA09_5H,BRMA09_4H
LOEA16_16,LOEA16_10
LOEA16_16,LOEA16_11
LOEA16_16,LOEA16_14
LOEA16_16,LOEA16_15
LOEA16_16,LOEA16_6
LOEA16_16,LOEA16_7
LOEA16_16,LOEA16_9
LOEA16_16,LOEA16_12
LOEA16_16,LOEA16_13
LOEA16_16,LOEA16_8
BRMA09_3H,BRMA09_2H
BRMA09_3H,BRMA09_4H
BRMA09_3H,BRMA09_5H
PRO_001c,CS2_121
PRO_001c,EX1_021
PRO_001c,EX1_023
PRO_001c,EX1_110
PRO_001c,EX1_390
PRO_001c,CS2_179
LOEA16_16H,LOEA16_10
LOEA16_16H,LOEA16_11
LOEA16_16H,LOEA16_14
LOEA16_16H,LOEA16_15
LOEA16_16H,LOEA16_6
LOEA16_16H,LOEA16_7
LOEA16_16H,LOEA16_9
LOEA16_16H,LOEA16_12
LOEA16_16H,LOEA16_13
LOEA16_16H,LOEA16_8
TBUD_1,CS1_042
TBUD_1,CS2_171
BRMA13_3H,BRMA13_8
BRMA13_3H,BRMA13_7
BRMA13_3H,BRMA13_6
BRMA13_3H,BRMA13_5
TB_MechWar_CommonCards,GVG_069
TB_MechWar_CommonCards,GVG_079
TB_MechWar_CommonCards,GVG_034
TB_MechWar_CommonCards,GVG_048
TB_MechWar_CommonCards,GVG_049
TB_MechWar_CommonCards,GVG_088
KARA_00_10,EX1_294
KARA_00_10,FP1_018
KARA_00_10,AT_002
KARA_00_10,EX1_287
KARA_00_10,tt_010
KARA_00_10,EX1_295
KARA_00_10,EX1_289
KARA_00_10,EX1_594
