card_id,mechanic
AT_132,BATTLECRY
GVG_011a,TAG_ONE_TURN_EFFECT
EX1_583,BATTLECRY
LOE_007t,EVIL_GLOW
LOE_007t,ImmuneToSpellpower
CFM_095,DEATHRATTLE
BRM_018,BATTLECRY
GVG_030,CHOOSE_ONE
GVG_030,TAUNT
CS2_227,AURA
KAR_062,BATTLECRY
CFM_712_t17,JADE_GOLEM
BRM_011t,TAG_ONE_TURN_EFFECT
BRMA10_3H,AI_MUST_PLAY
KAR_710m,TAUNT
EX1_295o,TAG_ONE_TURN_EFFECT
OG_158,DEATHRATTLE
LOE_110t,TOPDECK
LOE_110t,ImmuneToSpellpower
BRMA13_4H,AI_MUST_PLAY
EX1_145o,TAG_ONE_TURN_EFFECT
LOEA09_2e,TAG_ONE_TURN_EFFECT
EX1_570e,TAG_ONE_TURN_EFFECT
GVG_069,BATTLECRY
hexfrog,TAUNT
OG_145,DIVINE_SHIELD
OG_145,TAUNT
AT_090,INSPIRE
AT_060,SECRET
TB_MechWar_Minion1,TAUNT
GVG_056t,TOPDECK
GVG_056t,ImmuneToSpellpower
GVG_115,BATTLECRY
GVG_115,DEATHRATTLE
CFM_602,CHOOSE_ONE
CFM_602,JADE_GOLEM
CS2_141,BATTLECRY
BRMA12_4H,EVIL_GLOW
CFM_312,BATTLECRY
CFM_312,JADE_GOLEM
LOEA09_6H,BATTLECRY
EX1_383,DEATHRATTLE
EX1_383,DIVINE_SHIELD
EX1_383,TAUNT
CFM_755,BATTLECRY
AT_077,BATTLECRY
AT_085,AURA
CS2_064,BATTLECRY
CS2_213,CHARGE
KAR_A10_04,AUTOATTACK
CFM_712_t04,JADE_GOLEM
CFM_602a,JADE_GOLEM
AT_019,DEATHRATTLE
EX1_162,ADJACENT_BUFF
EX1_162,AURA
CFM_751,BATTLECRY
GVG_051,ENRAGED
EX1_165t2,TAUNT
BRMC_90,TAUNT
EX1_556,DEATHRATTLE
NAX2_03,ImmuneToSpellpower
NAX8_04,DEATHRATTLE
AT_087,CHARGE
AT_087,DIVINE_SHIELD
OG_256,DEATHRATTLE
NAX15_03n,TAUNT
XXX_104,ImmuneToSpellpower
EX1_561,BATTLECRY
BRMA10_4H,InvisibleDeathrattle
OG_134,BATTLECRY
NEW1_017,BATTLECRY
LOE_019,BATTLECRY
GVG_060,BATTLECRY
CFM_694,BATTLECRY
EX1_283,BATTLECRY
EX1_283,FREEZE
NEW1_014,BATTLECRY
TB_SPT_DPromoSecret1,SECRET
LOE_027,SECRET
FP1_022,DEATHRATTLE
GVG_110t,DEATHRATTLE
CFM_336,DEATHRATTLE
AT_028,COMBO
OG_221,DEATHRATTLE
FP1_030,BATTLECRY
CS2_127,TAUNT
TB_SPT_DPromoCrate2,DEATHRATTLE
LOE_092,BATTLECRY
AT_030,COMBO
EX1_005,BATTLECRY
NAX5_02H,AI_MUST_PLAY
AT_118,BATTLECRY
AT_111,BATTLECRY
KAR_A10_08,CHARGE
LOEA16_19H,AURA
KARA_12_03H,SECRET
KARA_12_03H,ImmuneToSpellpower
BRMA17_8H,AI_MUST_PLAY
EX1_250,TAUNT
XXX_002,ImmuneToSpellpower
OG_156a,TAUNT
CFM_712_t07,JADE_GOLEM
AT_005t,CHARGE
AT_113,INSPIRE
BRMA03_3,AURA
BRMA03_3,InvisibleDeathrattle
EX1_058,BATTLECRY
GVG_099,BATTLECRY
CS2_022e,MORPH
OG_234,BATTLECRY
GVG_055,BATTLECRY
LOEA09_3H,AI_MUST_PLAY
OG_083,BATTLECRY
HRW02_1,TAUNT
HRW02_1,InvisibleDeathrattle
EX1_243,WINDFURY
CFM_717,BATTLECRY
CFM_717,JADE_GOLEM
TU4c_003,DEATHRATTLE
EX1_083,BATTLECRY
FP1_012t,TAUNT
OG_202,CHOOSE_ONE
CS2_188o,TAG_ONE_TURN_EFFECT
BRMA12_5H,EVIL_GLOW
BRMA12_2,AI_MUST_PLAY
NAX8_05,DEATHRATTLE
TB_GP_01e_copy1,CANT_ATTACK
LOEA16_11,ImmuneToSpellpower
EX1_050,BATTLECRY
OG_179,DEATHRATTLE
CFM_855,BATTLECRY
LOEA09_2,AI_MUST_PLAY
EX1_008,DIVINE_SHIELD
BRMA09_3t,TAUNT
OG_153,TAUNT
BRMA01_1,AI_MUST_PLAY
CFM_657,BATTLECRY
CFM_712_t14,JADE_GOLEM
CFM_667,BATTLECRY
CFM_667,DEATHRATTLE
LOE_006,BATTLECRY
GVG_107,BATTLECRY
GVG_091,TAUNT
GVG_091,CANT_BE_TARGETED_BY_SPELLS
GVG_091,CANT_BE_TARGETED_BY_HERO_POWERS
EX1_110,DEATHRATTLE
AT_023,INSPIRE
TB_SPT_DpromoPortal,BATTLECRY
TB_SPT_DpromoPortal,IMMUNE
GVG_093,TAUNT
AT_009,DEATHRATTLE
AT_133,BATTLECRY
EX1_315,AURA
OG_293,BATTLECRY
OG_293,RITUAL
OG_293,TAUNT
BRMA14_8H,AI_MUST_PLAY
NAX15_05,InvisibleDeathrattle
CFM_643,BATTLECRY
AT_038,BATTLECRY
AT_038,DEATHRATTLE
EX1_048,BATTLECRY
EX1_021,WINDFURY
CFM_713,JADE_GOLEM
EX1_319,BATTLECRY
AT_007,BATTLECRY
FP1_002,DEATHRATTLE
LOEA01_12h,DEATHRATTLE
OG_150e,ENRAGED
LOE_050,DEATHRATTLE
LOE_009t,TAUNT
KAR_037,BATTLECRY
AT_032,BATTLECRY
AT_082,INSPIRE
AT_115,BATTLECRY
AT_075,AURA
AT_012,INSPIRE
AT_050,DEATHRATTLE
EX1_133,BATTLECRY
EX1_133,COMBO
OG_122,BATTLECRY
GVG_032,CHOOSE_ONE
LOEA04_13bt,DIVINE_SHIELD
CFM_668,BATTLECRY
EX1_112,BATTLECRY
NEW1_025,BATTLECRY
EX1_313,BATTLECRY
AT_100,INSPIRE
KAR_A02_04H,AURA
CS2_mirror,TAUNT
GVG_065,FORGETFUL
CS2_187,TAUNT
EX1_137,COMBO
KAR_114,BATTLECRY
